ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
10506,WK026809  ,2.5
11049,WK026900  ,14.3
11059,WK026901  ,9.7
11071,WK026902  ,11.3
11832,WK027300  ,1.7
11843,WK027301  ,3.8
11941,WK027401  ,5.4
11948,WK027402  ,6.4
11956,WK027403  ,6.9
11963,WK027404  ,8
11967,WK027405  ,10.2
11972,WK027406  ,9.7
11977,WK027407  ,9
11981,WK027408  ,9.9
11985,WK027409  ,9.1
11988,WK027410  ,7.8
11994,WK027411  ,6.2
12000,WK027412  ,6.3
12028,WK027500  ,1.3
12040,WK027501  ,5.4
12048,WK027502  ,1.4
12510,WK027700  ,2.9
12626,WK027900  ,9.4
13746,WK028100  ,2.2
13758,WK028101  ,1.4
13767,WK028102  ,4.1
13772,WK028103  ,3.7
15176,WK028500  ,10.2
15185,WK028501  ,8.1
15196,WK028502  ,10.8
15206,WK028503  ,8.6
15438,WK028901  ,2.5
15443,WK028902  ,2
15446,WK028903  ,1.6
15449,WK028904  ,1.7
15452,WK028905  ,1.5
15457,WK028906  ,0.9
15462,WK028907  ,1.4
15465,WK028908  ,1
15468,WK028909  ,0.5
15471,WK028910  ,1.2
15475,WK028911  ,3.7
15477,WK028912  ,3
15884,WK029300  ,5.5
16299,WK029400  ,2.1
16305,WK029401  ,5.5
16181,WK029600  ,10.4
16185,WK029601  ,9
16225,WK029602  ,11.9
16228,WK029603  ,10.2
16231,WK029604  ,7.1
16235,WK029605  ,9.7
16238,WK029606  ,10.8
16241,WK029607  ,12.9
16245,WK029608  ,6.9
16537,WK029700  ,1.3
16544,WK029701  ,10.8
16555,WK029702  ,4.7
16564,WK029703  ,10.4
16647,WK029900  ,1.8
16667,WK029901  ,5.6
16671,WK029902  ,2.9
16674,WK029903  ,6.7
16678,WK029904  ,5.6
16680,WK029905  ,7
16682,WK029906  ,7.4
16685,WK029907  ,8.9
16688,WK029908  ,8.4
16691,WK029909  ,11
16693,WK029910  ,12
16696,WK029911  ,14
16839,WK030100  ,3.9
16845,WK030101  ,2.3
16853,WK030102  ,3.7
16858,WK030103  ,2.1
16864,WK030104  ,1.8
16870,WK030105  ,3.1
10895,WK030200  ,13.4
10905,WK030201  ,13.4
4238,WK030301  ,1.9
4244,WK030302  ,2.7
4249,WK030303  ,3.6
4255,WK030304  ,4.9
4262,WK030305  ,7.1
4266,WK030306  ,12.7
4277,WK030307  ,7
681,WK030701  ,2.6
691,WK030702  ,2.7
697,WK030703  ,2.1
706,WK030704  ,1.9
711,WK030705  ,5.2
716,WK030706  ,1.6
720,WK030707  ,2.9
724,WK030708  ,1.9
728,WK030709  ,2
733,WK030710  ,3.4
739,WK030711  ,4.2
742,WK030712  ,5.9
745,WK030713  ,4.1
749,WK030714  ,3.3
754,WK030715  ,3.4
759,WK030716  ,4
764,WK030717  ,4.1
773,WK030718  ,4
779,WK030719  ,2.2
787,WK030720  ,3.8
795,WK030721  ,4.1
805,WK030722  ,4.1
807,WK030723  ,2
810,WK030724  ,3.9
817,WK030725  ,4.5
827,WK030726  ,4.8
832,WK030727  ,2.7
836,WK030728  ,5.5
844,WK030729  ,4.7
848,WK030730  ,5
851,WK030731  ,4.9
1876,WK030800  ,1.5
1885,WK030801  ,1.8
1893,WK030802  ,1
1896,WK030804  ,3.7
1899,WK030805  ,5.9
2572,WK031001  ,6.3
2575,WK031002  ,6.3
2578,WK031003  ,7.3
2582,WK031004  ,3.2
2585,WK031005  ,5.4
2587,WK031006  ,6.4
2591,WK031007  ,5.3
2595,WK031008  ,4.1
2599,WK031009  ,2.9
2603,WK031010  ,2.3
3150,WK031200  ,3.1
3155,WK031201  ,6.1
3158,WK031202  ,6.1
3162,WK031300  ,1.3
4528,WK031702  ,4.7
7952,WK032110  ,2.3
7964,WK032111  ,2
7976,WK032112  ,2.3
7987,WK032113  ,2
7995,WK032120  ,3.4
8008,WK032130  ,5
8011,WK032131  ,4.5
8013,WK032140  ,6.4
8016,WK032141  ,7.2
8018,WK032150  ,4.9
8021,WK032151  ,4.8
9186,WK032700  ,1.3
9197,WK032701  ,1.2
9208,WK032702  ,3.1
9212,WK032703  ,6.5
9215,WK032704  ,3.9
9217,WK032705  ,1.9
9358,WK033100  ,8.1
10274,WK033500  ,7.6
10277,WK033501  ,4.3
10284,WK033502  ,7.8
12008,WK033900  ,7.3
12055,WK034000  ,7.5
12057,WK034001  ,6.9
12063,WK034002  ,7.2
12067,WK034003  ,7
12071,WK034004  ,6
12073,WK034005  ,3.4
12078,WK034006  ,4.9
12080,WK034007  ,6.3
12084,WK034008  ,7.7
12086,WK034009  ,7.6
12088,WK034010  ,6.4
12090,WK034011  ,5.2
12092,WK034012  ,6.8
12094,WK034013  ,5.9
12997,WK034201  ,4
13001,WK034202  ,5.2
13003,WK034203  ,5.7
13008,WK034204  ,5
13014,WK034205  ,6
13016,WK034206  ,6.6
13022,WK034207  ,5.8
13029,WK034208  ,4.6
14337,WK034401  ,3.6
14349,WK034402  ,3.1
14363,WK034403  ,1.5
14374,WK034404  ,2.1
14386,WK034405  ,1
14400,WK034406  ,2
14412,WK034407  ,2.9
14421,WK034408  ,3.4
14429,WK034409  ,2.1
14445,WK034410  ,2.2
14593,WK034500  ,1.5
14598,WK034501  ,2.8
14605,WK034502  ,1.4
14615,WK034503  ,0.9
14619,WK034504  ,2.2
14626,WK034505  ,2.4
16453,WK035100  ,7.1
16276,WK035200  ,8.7
16289,WK035201  ,8.5
16292,WK035202  ,6
16295,WK035203  ,4
8133,WK035300  ,4.2
16606,WK035501  ,1.5
16612,WK035502  ,2.7
16619,WK035503  ,3.6
16629,WK035504  ,2.5
16637,WK035505  ,5.4
10341,WK035601  ,1.8
10343,WK035602  ,2.7
10345,WK035603  ,2
10347,WK035604  ,3.2
10349,WK035605  ,0.8
10351,WK035606  ,3.8
10353,WK035607  ,4.6
10355,WK035608  ,4.3
10357,WK035610  ,2.4
10359,WK035611  ,2.4
10361,WK035612  ,3
10363,WK035613  ,3.4
10365,WK035614  ,1.6
10367,WK035615  ,1.6
10369,WK035616  ,2.8
10371,WK035618  ,5
10373,WK035620  ,5.2
10375,WK035621  ,3.4
10377,WK035622  ,3.4
10379,WK035623  ,2.2
10381,WK035624  ,1.1
10383,WK035625  ,3.2
78,WK035800  ,4.5
83,WK035801  ,5.2
85,WK035802  ,5.9
223,WK036101  ,1
234,WK036102  ,3.1
244,WK036103  ,1.9
251,WK036104  ,2.1
258,WK036105  ,3
263,WK036106  ,4.6
269,WK036107  ,5.8
276,WK036108  ,1.3
281,WK036109  ,8.9
289,WK036110  ,11.9
297,WK036111  ,4.5
859,WK036201  ,2.4
862,WK036202  ,3.3
865,WK036203  ,2.7
870,WK036204  ,2
872,WK036205  ,2.7
875,WK036206  ,2.5
880,WK036207  ,3.2
883,WK036208  ,2
890,WK036209  ,0.9
896,WK036210  ,2.6
902,WK036211  ,4.1
909,WK036212  ,5.1
914,WK036213  ,4.4
917,WK036214  ,2.8
921,WK036300  ,0.9
927,WK036301  ,0.6
936,WK036302  ,0.7
941,WK036303  ,1.1
949,WK036304  ,1.5
959,WK036305  ,1.9
966,WK036306  ,1.2
978,WK036307  ,1.5
987,WK036308  ,1.2
992,WK036309  ,2
1001,WK036310  ,5.8
1010,WK036311  ,3.1
1018,WK036312  ,3.3
1021,WK036313  ,2.9
1030,WK036314  ,2.3
1037,WK036315  ,2.5
1042,WK036316  ,1.8
1046,WK036317  ,1.4
1048,WK036318  ,1.9
1051,WK036319  ,1.8
1055,WK036320  ,1.9
1059,WK036321  ,2.7
1062,WK036322  ,1.9
1065,WK036323  ,1.3
1071,WK036324  ,1.9
1077,WK036325  ,1.9
1082,WK036326  ,1.9
1086,WK036327  ,0.9
1090,WK036328  ,0.4
1095,WK036329  ,1.1
1099,WK036330  ,0.7
1102,WK036331  ,1.6
1106,WK036332  ,2.1
