ID,WijkenEnBuurten,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15
15780,WK098420  ,3,3
15782,WK098421  ,9.3,9.3
15784,WK098422  ,8,8
15786,WK098423  ,11.3,11.7
15789,WK196101  ,9.1,17.6
15791,WK196102  ,9.7,16.8
15794,WK196103  ,10.4,16.2
15798,WK196104  ,11.4,15.2
15802,WK196105  ,10.3,11
15807,WK196106  ,11,12
15810,WK196107  ,9.7,9.7
15812,WK196108  ,10.8,11.5
15816,WK196109  ,7.9,9.3
15818,WK196110  ,6.3,9.4
15822,WK196111  ,5.2,12.4
15824,WK196112  ,7.2,13
15828,WK196113  ,6.9,9.2
15830,WK196114  ,6.4,9.1
15832,WK196115  ,9.4,12.4
15834,WK196116  ,10,12.2
15836,WK196117  ,3.9,11.3
15838,WK196118  ,6.3,6.3
15840,WK196119  ,6.4,6.4
15846,WK196120  ,7.3,7.3
15850,WK196121  ,6.1,6.1
15857,WK196122  ,7.1,7.1
15863,WK196123  ,9,9
15866,WK196124  ,2.5,12.8
15875,WK196125  ,2.1,13.9
15881,WK196126  ,1.4,13.6
15884,WK196127  ,0.8,14.4
15888,WK196128  ,1.8,14.5
15890,WK196129  ,3.3,14.5
15892,WK196130  ,4.6,15.4
15894,WK196131  ,5.9,14.9
15896,WK196132  ,7.5,12.7
15898,WK196133  ,7.9,13.3
15900,WK196134  ,8.8,8.8
15902,WK196135  ,8.3,9.7
15906,WK196136  ,8,8
15910,WK196137  ,6.2,12.3
15912,WK196138  ,6.7,12.4
15914,WK196139  ,8.3,8.3
15917,WK062201  ,4.1,4.1
15922,WK062202  ,5.4,5.4
15928,WK062203  ,4.9,4.9
15936,WK062204  ,3.7,3.7
15941,WK062205  ,2.5,2.5
15947,WK062206  ,3,3
15954,WK062207  ,4.1,4.1
15963,WK062208  ,       .,       .
15966,WK009600  ,36,61.2
15970,WK071801  ,1.2,1.2
15975,WK071802  ,1.1,1.1
15986,WK071803  ,1.9,1.9
15991,WK071804  ,2.8,2.8
16000,WK071805  ,3.6,5.1
16009,WK071806  ,5.4,6.4
16014,WK071807  ,3,3
16018,WK071808  ,       .,       .
16021,WK098601  ,5.3,5.3
16024,WK098602  ,4.3,4.3
16028,WK098603  ,3.5,3.5
16032,WK098604  ,8.2,8.2
16039,WK098605  ,7.8,7.8
16041,WK098609  ,7,7
16044,WK062600  ,5.2,6.2
16058,WK028500  ,10.5,10.5
16067,WK028501  ,8.6,8.7
16078,WK028502  ,10.4,11.1
16088,WK028503  ,9.1,9.1
16094,WK086500  ,4.3,4.3
16103,WK086501  ,6.3,6.3
16112,WK086502  ,5.9,5.9
16115,WK086503  ,8.5,9.7
16122,WK194915  ,5.3,22.5
16125,WK194916  ,17.7,17.7
16133,WK194917  ,16.2,16.2
16135,WK194918  ,14.6,14.6
16141,WK194919  ,12,12
16144,WK194920  ,10.9,10.9
16147,WK194921  ,8.2,8.2
16149,WK194922  ,12.6,21
16151,WK194923  ,7,7
16154,WK194924  ,7.1,7.1
16157,WK194925  ,10.9,20.9
16160,WK194926  ,13.4,13.4
16166,WK194927  ,16.5,21.5
16168,WK194928  ,10.3,20.5
16187,WK194929  ,6.6,23.4
16189,WK194930  ,7.6,22.3
16191,WK194931  ,9.8,9.8
16194,WK194932  ,20,20
