ID,WijkenEnBuurten,AantalInwoners_5,,
17224,WK026202,4050,,
17256,WK026203,1800,,
17276,WK026204,10450,,
17308,WK026205,3190,,
17340,WK026300,9610,,
17380,WK026301,4500,,
17404,WK026302,4710,,
17420,WK026303,1460,,
17436,WK026304,3510,,
17460,WK026500,5860,,
17480,WK026701,24280,,
17556,WK026702,1730,,
17584,WK026703,3680,,
17608,WK026704,400,,
17628,WK026705,8990,,
17660,WK026801,9510,,
17672,WK026802,33090,,
17708,WK026803,13060,,
17720,WK026804,16150,,
17740,WK026805,18010,,
17764,WK026806,22230,,
17784,WK026807,23120,,
17824,WK026808,15450,,
17856,WK026809,11190,,
17884,WK026900,6810,,
17924,WK026901,13580,,
17972,WK026902,2230,,
18004,WK027300,21230,,
18056,WK027301,2230,,
18076,WK027400,13060,,
18100,WK027401,11120,,
18128,WK027402,7570,,
18172,WK027500,17690,,
18220,WK027501,8520,,
18252,WK027502,17460,,
18280,WK027700,1520,,
18296,WK027900,9140,,
18316,WK028100,18990,,
18360,WK028101,20010,,
18404,WK028102,2070,,
18432,WK028200,9370,,
18480,WK028500,2760,,
18516,WK028501,15790,,
18560,WK028502,3250,,
18600,WK028503,1910,,
18624,WK028900,33460,,
18660,WK028901,3240,,
18692,WK029300,15280,,
18724,WK029400,22760,,
18748,WK029401,6260,,
18804,WK029600,7890,,
18876,WK029601,28540,,
19072,WK029602,2810,,
19120,WK029603,710,,
19208,WK029700,11710,,
19236,WK029701,7500,,
19280,WK029702,5500,,
19316,WK029703,1510,,
19336,WK029900,24050,,
19408,WK029901,2240,,
19428,WK029902,1460,,
19440,WK029903,3510,,
19452,WK029904,560,,
19464,WK030100,8250,,
19488,WK030101,9790,,
19520,WK030102,4640,,
19540,WK030103,7250,,
19564,WK030104,8110,,
19588,WK030105,8920,,
19616,WK030200,21590,,
19656,WK030201,5120,,
19684,WK030301,6530,,
19708,WK030302,1680,,
19728,WK030303,6170,,
19752,WK030304,9750,,
19780,WK030305,2600,,
19796,WK030306,5920,,
19840,WK030307,6570,,
19884,WK030400,4180,,
19912,WK030401,4620,,
19952,WK030402,3040,,
19984,WK030500,8680,,
20020,WK030701,5210,,
20060,WK030702,940,,
20084,WK030703,10480,,
20120,WK030704,280,,
20156,WK030705,1380,,
20172,WK030706,2720,,
20188,WK030707,5810,,
20204,WK030708,4680,,
20220,WK030709,7750,,
20240,WK030710,7260,,
20264,WK030711,3130,,
20276,WK030712,250,,
20296,WK030713,4180,,
20312,WK030714,7020,,
20332,WK030715,6190,,
20356,WK030716,5690,,
20376,WK030717,5990,,
20416,WK030718,3310,,
20440,WK030719,10410,,
20472,WK030720,8680,,
20504,WK030721,11620,,
20544,WK030722,140,,
20556,WK030723,70,,
20568,WK030724,15030,,
20600,WK030725,230,,
20644,WK030726,2390,,
20680,WK030727,500,,
20704,WK030728,11870,,
20836,WK030800,11420,,
20872,WK030801,10000,,
20904,WK030802,1650,,
20916,WK030803,1270,,
20936,WK031000,14900,,
20956,WK031001,7590,,
20964,WK031002,9970,,
20980,WK031003,1380,,
20992,WK031004,5200,,
21008,WK031005,1690,,
21020,WK031006,1250,,
21032,WK031100,9810,,
21056,WK031101,410,,
21064,WK031102,1200,,
21084,WK031103,3240,,
21112,WK031200,6670,,
21132,WK031201,5390,,
21144,WK031202,2360,,
21160,WK031300,19750,,
21208,WK031700,8880,,
21248,WK032101,44040,,
21376,WK032102,660,,
21392,WK032103,620,,
21408,WK032104,1930,,
21704,WK032700,8540,,
21748,WK032701,10160,,
21792,WK032702,3290,,
21812,WK032703,2510,,
21824,WK032704,350,,
21832,WK032705,3730,,
21848,WK032900,6400,,
21876,WK032901,610,,
21888,WK032902,1440,,
21904,WK033100,14160,,
21968,WK033300,12830,,
21980,WK033301,23020,,
21996,WK033302,1360,,
22004,WK033303,2430,,
22028,WK033500,8000,,
22040,WK033501,4720,,
22068,WK033502,760,,
22092,WK033900,4530,,
22108,WK034000,970,,
22116,WK034001,2880,,
22140,WK034002,3010,,
22156,WK034003,3790,,
22172,WK034004,30,,
22180,WK034005,940,,
22200,WK034006,920,,
22208,WK034007,1520,,
22224,WK034008,220,,
22232,WK034009,90,,
22240,WK034010,30,,
22248,WK034011,50,,
22256,WK034012,30,,
22264,WK034013,4370,,
22288,WK034200,39060,,
22324,WK034201,6650,,
22348,WK034401,26880,,
22440,WK034402,40120,,
22556,WK034403,31170,,
22640,WK034404,35420,,
22736,WK034405,29500,,
22852,WK034406,16210,,
22948,WK034407,25900,,
23012,WK034408,34520,,
23076,WK034409,21690,,
23172,WK034410,38490,,
23272,WK034500,4380,,
23292,WK034501,10650,,
23320,WK034502,14160,,
23360,WK034503,6870,,
23376,WK034504,9530,,
23404,WK034505,16410,,
23444,WK035100,11740,,
23476,WK035200,17460,,
23484,WK035201,580,,
23496,WK035202,3120,,
23508,WK035203,2090,,
23532,WK035300,34160,,
23660,WK035501,14780,,
23708,WK035502,16280,,
23764,WK035503,13910,,
23840,WK035504,7740,,
23904,WK035505,7680,,
23976,WK035600,42910,,
24016,WK035601,17630,,
24052,WK035602,470,,
24076,WK035800,11590,,
24120,WK035801,8060,,
24144,WK035802,8350,,
24196,WK036101,14210,,
24240,WK036102,12400,,
24284,WK036103,7330,,
24320,WK036104,11870,,
24348,WK036105,10580,,
24376,WK036106,16150,,
24400,WK036107,14110,,
24428,WK036108,6750,,
24460,WK036200,79770,,
24548,WK036300,81110,,
24608,WK036301,390,,
24624,WK036302,34100,,
24708,WK036303,31740,,
24796,WK036304,52660,,
24896,WK036305,30340,,
24980,WK036306,33620,,
25060,WK036307,86520,,
25152,WK036308,40620,,
25176,WK036309,47520,,
